[بسم, 115]
 [فاصطادوا, 1]
 [يجرمنكم, 3]
 [شنآن, 2]
 [صدوكم, 1]
 [وتعاونوا, 1]
 [والتقوى, 2]
 [تعاونوا, 1]
 [الإثم, 8]
 [والمنخنقة, 1]
 [والموقوذة, 1]
 [والمتردية, 1]
 [والنطيحة, 1]
 [أكل, 2]
 [السبع, 3]
 [ذكيتم, 1]
 [ذبح, 1]
 [النصب, 1]
 [تستقسموا, 1]
 [بالأزلام, 1]
 [فسق, 1]
 [يئس, 2]
 [واخشون, 2]
 [أكملت, 1]
 [وأتممت, 1]
 [ورضيت, 1]
 [مخمصة, 2]
 [متجانف, 1]
 [لإثم, 1]
 [الطيبات, 10]
 [الجوارح, 1]
 [مكلبين, 1]
 [تعلمونهن, 1]
 [أمسكن, 1]
 [اسم, 14]
 [وطعام, 1]
 [حل, 4]
 [وطعامكم, 1]
 [متخذي, 1]
 [حبط, 1]
 [عمله, 4]
 [قمتم, 1]
 [فاغسلوا, 1]
 [المرافق, 1]
 [وامسحوا, 1]
 [برءوسكم, 1]
 [وأرجلكم, 4]
 [الكعبين, 1]
 [فاطهروا, 1]
 [حرج, 13]
 [ليطهركم, 2]
 [وليتم, 2]
 [نعمته, 4]
 [وميثاقه, 1]
 [واثقكم, 1]
 [اعدلوا, 1]
 [وأجر, 6]
 [يبسطوا, 1]
 [فكف, 1]
 [وبعثنا, 1]
 [اثني, 1]
 [عشر, 6]
 [نقيبا, 1]
 [لئن, 28]
 [أقمتم, 1]
 [برسلي, 1]
 [وعزرتموهم, 1]
 [وأقرضتم, 1]
 [ولأدخلنكم, 1]
 [لعناهم, 1]
 [وجعلنا, 37]
 [قاسية, 1]
 [ونسوا, 1]
 [تزال, 1]
 [تطلع, 3]
 [خائنة, 2]
 [واصفح, 1]
 [فنسوا, 1]
 [فأغرينا, 1]
 [العداوة, 4]
 [والبغضاء, 4]
 [ينبئهم, 3]
 [يصنعون, 5]
 [رسولنا, 4]
 [تخفون, 2]
 [ويعفو, 3]
 [نور, 8]
 [وكتاب, 3]
 [رضوانه, 2]
 [سبل, 2]
 [ويخرجهم, 1]
 [يملك, 8]
 [يهلك, 4]
 [وأمه, 4]
 [أبناء, 5]
 [وأحباؤه, 1]
 [يعذبكم, 4]
 [بذنوبكم, 1]
 [فترة, 1]
 [جاءنا, 6]
 [بشير, 2]
 [نذير, 29]
 [ونذير, 1]
 [وجعلكم, 1]
 [ملوكا, 1]
 [وآتاكم, 2]
 [أحدا, 20]
 [المقدسة, 1]
 [ترتدوا, 1]
 [أدباركم, 1]
 [جبارين, 2]
 [ندخلها, 2]
 [يخرجوا, 6]
 [فإنا, 10]
 [داخلون, 1]
 [رجلان, 1]
 [يخافون, 8]
 [دخلتموه, 1]
 [فإنكم, 2]
 [غالبون, 1]
 [فتوكلوا, 1]
 [داموا, 1]
 [فاذهب, 2]
 [فقاتلا, 1]
 [قاعدون, 1]
 [أملك, 5]
 [نفسي, 9]
 [وأخي, 2]
 [فافرق, 1]
 [وبين, 9]
 [فإنها, 3]
 [محرمة, 1]
 [يتيهون, 1]
 [تأس, 2]
 [واتل, 5]
 [نبأ, 9]
 [ابني, 2]
 [قربا, 1]
 [قربانا, 2]
 [أحدهما, 4]
 [يتقبل, 3]
 [لأقتلنك, 1]
 [بسطت, 1]
 [يدك, 5]
 [لتقتلني, 1]
 [بباسط, 1]
 [لأقتلك, 1]
 [أخاف, 20]
 [أريد, 8]
 [تبوء, 1]
 [بإثمي, 1]
 [وإثمك, 1]
 [فتكون, 7]
 [فطوعت, 1]
 [فقتله, 2]
 [فأصبح, 5]
 [غرابا, 1]
 [يبحث, 1]
 [ليريه, 1]
 [يواري, 2]
 [سوءة, 2]
 [ويلتى, 3]
 [أعجزت, 1]
 [الغراب, 1]
 [فأواري, 1]
 [أخي, 4]
 [النادمين, 1]
 [فساد, 1]
 [فكأنما, 3]
 [أحياها, 2]
 [أحيا, 1]
 [رسلنا, 15]
 [لمسرفون, 1]
 [يحاربون, 1]
 [ويسعون, 2]
 [فسادا, 3]
 [يقتلوا, 1]
 [يصلبوا, 1]
 [تقطع, 3]
 [وأرجلهم, 2]
 [خلاف, 5]
 [ينفوا, 1]
 [تقدروا, 2]
 [الوسيلة, 2]
 [سبيله, 13]
 [ومثله, 3]
 [ليفتدوا, 1]
 [مقيم, 8]
 [والسارق, 1]
 [والسارقة, 1]
 [فاقطعوا, 1]
 [أيديهما, 1]
 [كسبا, 1]
 [تاب, 12]
 [ظلمه, 2]
 [وأصلح, 8]
 [يعذب, 3]
 [سماعون, 4]
 [للكذب, 2]
 [يأتوك, 4]
 [فخذوه, 2]
 [تؤتوه, 1]
 [فاحذروا, 1]
 [فتنته, 1]
 [تملك, 2]
 [يطهر, 1]
 [أكالون, 1]
 [للسحت, 1]
 [فاحكم, 5]
 [أعرض, 8]
 [تعرض, 1]
 [يضروك, 1]
 [حكمت, 1]
 [المقسطين, 3]
 [يحكمونك, 1]
 [وعندهم, 3]
 [حكم, 3]
 [يتولون, 2]
 [بالمؤمنين, 6]
 [ونور, 2]
 [والربانيون, 1]
 [والأحبار, 2]
 [استحفظوا, 1]
 [تخشوا, 1]
 [وكتبنا, 2]
 [النفس, 7]
 [بالنفس, 2]
 [والعين, 1]
 [بالعين, 1]
 [والأنف, 1]
 [بالأنف, 1]
 [والأذن, 1]
 [بالأذن, 1]
 [والسن, 1]
 [بالسن, 1]
 [والجروح, 1]
 [تصدق, 1]
 [كفارة, 3]
 [آثارهم, 6]
 [بعيسى, 2]
 [وآتيناه, 9]
 [الإنجيل, 4]
 [وليحكم, 1]
 [ومهيمنا, 1]
 [شرعة, 1]
 [ومنهاجا, 1]
 [لجعلكم, 2]
 [ليبلوكم, 4]
 [آتاكم, 6]
 [فينبئكم, 7]
 [احكم, 2]
 [واحذرهم, 1]
 [يفتنوك, 1]
 [فاعلم, 3]
 [يصيبهم, 3]
 [ذنوبهم, 2]
 [لفاسقون, 1]
 [أفحكم, 1]
 [يتولهم, 3]
 [فترى, 5]
 [نخشى, 1]
 [تصيبنا, 1]
 [دائرة, 3]
 [بالفتح, 1]
 [فيصبحوا, 1]
 [أسروا, 1]
 [نادمين, 4]
 [ويقول, 11]
 [أهؤلاء, 4]
 [أقسموا, 2]
 [جهد, 5]
 [أيمانهم, 15]
 [لمعكم, 1]
 [فأصبحوا, 9]
 [يرتد, 3]
 [بقوم, 3]
 [يحبهم, 1]
 [ويحبونه, 1]
 [أعزة, 2]
 [يجاهدون, 1]
 [لومة, 1]
 [لائم, 1]
 [وليكم, 1]
 [يقيمون, 4]
 [ويؤتون, 5]
 [راكعون, 1]
 [يتول, 4]
 [حزب, 7]
 [الغالبون, 5]
 [ولعبا, 3]
 [والكفار, 2]
 [ناديتم, 1]
 [اتخذوها, 1]
 [تنقمون, 1]
 [أكثركم, 2]
 [فاسقون, 7]
 [أنبئكم, 3]
 [مثوبة, 1]
 [وجعل, 29]
 [القردة, 1]
 [والخنازير, 1]
 [وعبد, 1]
 [مكانا, 9]
 [وأضل, 5]
 [دخلوا, 9]
 [وترى, 12]
 [السحت, 2]
 [لبئس, 5]
 [ينهاهم, 1]
 [الربانيون, 1]
 [يد, 3]
 [مغلولة, 2]
 [غلت, 1]
 [ولعنوا, 1]
 [يداه, 3]
 [مبسوطتان, 1]
 [وليزيدن, 2]
 [طغيانا, 4]
 [وكفرا, 4]
 [وألقينا, 4]
 [أوقدوا, 1]
 [للحرب, 1]
 [أطفأها, 1]
 [المفسدين, 10]
 [لكفرنا, 1]
 [ولأدخلناهم, 1]
 [النعيم, 10]
 [أقاموا, 2]
 [لأكلوا, 1]
 [تحت, 7]
 [أرجلهم, 3]
 [مقتصدة, 1]
 [وكثير, 6]
 [ساء, 11]
 [بلغ, 10]
 [تفعل, 1]
 [بلغت, 5]
 [رسالته, 2]
 [يعصمك, 1]
 [لستم, 2]
 [تقيموا, 1]
 [والصابئون, 1]
 [وأرسلنا, 3]
 [يقتلون, 5]
 [وحسبوا, 1]
 [فعموا, 1]
 [وصموا, 2]
 [عموا, 1]
 [ثالث, 1]
 [ينتهوا, 2]
 [ليمسن, 1]
 [ويستغفرونه, 1]
 [صديقة, 1]
 [يأكلان, 1]
 [نبين, 1]
 [يؤفكون, 6]
 [أتعبدون, 2]
 [ضرا, 9]
 [أهواء, 3]
 [وأضلوا, 1]
 [وضلوا, 1]
 [لعن, 2]
 [لسان, 5]
 [يتناهون, 1]
 [منكر, 1]
 [ترى, 19]
 [سخط, 1]
 [والنبي, 1]
 [اتخذوهم, 1]
 [لتجدن, 1]
 [عداوة, 2]
 [ولتجدن, 1]
 [أقربهم, 1]
 [قسيسين, 1]
 [ورهبانا, 1]
 [يستكبرون, 7]
 [سمعوا, 6]
 [أعينهم, 6]
 [تفيض, 2]
 [الدمع, 2]
 [ونطمع, 1]
 [يدخلنا, 1]
 [فأثابهم, 1]
 [تحرموا, 1]
 [رزقكم, 8]
 [مؤمنون, 6]
 [عقدتم, 1]
 [الأيمان, 2]
 [فكفارته, 1]
 [إطعام, 2]
 [مساكين, 2]
 [أوسط, 1]
 [تطعمون, 1]
 [أهليكم, 1]
 [كسوتهم, 1]
 [تحرير, 1]
 [حلفتم, 1]
 [واحفظوا, 1]
 [والأنصاب, 1]
 [والأزلام, 1]
 [رجس, 4]
 [فاجتنبوه, 1]
 [يوقع, 1]
 [ويصدكم, 1]
 [وعن, 5]
 [فهل, 23]
 [منتهون, 1]
 [واحذروا, 1]
 [المبين, 22]
 [طعموا, 1]
 [ليبلونكم, 1]
 [تناله, 1]
 [ورماحكم, 1]
 [ليعلم, 5]
 [يخافه, 1]
 [قتله, 1]
 [فجزاء, 1]
 [النعم, 1]
 [ذوا, 2]
 [هديا, 1]
 [بالغ, 2]
 [الكعبة, 2]
 [صياما, 1]
 [ليذوق, 1]
 [وبال, 4]
 [أمره, 10]
 [فينتقم, 1]
 [صيد, 2]
 [وطعامه, 1]
 [وللسيارة, 1]
 [دمتم, 1]
 [حرما, 3]
 [والشهر, 1]
 [والهدي, 2]
 [والقلائد, 1]
 [لتعلموا, 3]
 [اعلموا, 3]
 [والطيب, 1]
 [أعجبك, 2]
 [كثرة, 1]
 [أشياء, 1]
 [تبد, 2]
 [تسؤكم, 1]
 [سألها, 1]
 [أصبحوا, 1]
 [بحيرة, 1]
 [سائبة, 1]
 [وصيلة, 1]
 [حام, 1]
 [وجدنا, 13]
 [اهتديتم, 1]
 [اثنان, 1]
 [آخران, 1]
 [غيركم, 4]
 [فأصابتكم, 1]
 [تحبسونهما, 1]
 [فيقسمان, 2]
 [ارتبتم, 2]
 [نشتري, 1]
 [قربى, 4]
 [نكتم, 1]
 [الآثمين, 1]
 [عثر, 1]
 [أنهما, 2]
 [استحقا, 1]
 [فآخران, 1]
 [يقومان, 1]
 [مقامهما, 1]
 [استحق, 1]
 [الأوليان, 1]
 [لشهادتنا, 1]
 [شهادتهما, 1]
 [اعتدينا, 1]
 [يأتوا, 5]
 [بالشهادة, 1]
 [وجهها, 2]
 [يخافوا, 1]
 [ترد, 1]
 [أيمان, 3]
 [يجمع, 3]
 [فيقول, 13]
 [أجبتم, 2]
 [علام, 4]
 [الغيوب, 4]
 [اذكر, 1]
 [والدتك, 1]
 [أيدتك, 1]
 [علمتك, 1]
 [تخلق, 1]
 [بإذني, 4]
 [فتنفخ, 1]
 [وتبرئ, 1]
 [تخرج, 9]
 [كففت, 1]
 [جئتهم, 2]
 [سحر, 12]
 [أوحيت, 1]
 [الحواريين, 1]
 [وبرسولي, 1]
 [بأننا, 1]
 [مائدة, 2]
 [نريد, 4]
 [نأكل, 1]
 [وتطمئن, 2]
 [ونعلم, 2]
 [صدقتنا, 1]
 [ونكون, 3]
 [عيدا, 1]
 [لأولنا, 1]
 [وآخرنا, 1]
 [وآية, 4]
 [منك, 6]
 [وارزقنا, 1]
 [وأنت, 14]
 [الرازقين, 5]
 [منزلها, 1]
 [أعذبه, 2]
 [أأنت, 2]
 [قلت, 5]
 [اتخذوني, 1]
 [وأمي, 1]
 [إلهين, 2]
 [أقول, 9]
 [بحق, 1]
 [قلته, 1]
 [علمته, 1]
 [أمرتني, 1]
 [وكنت, 4]
 [توفيتني, 1]
 [الرقيب, 1]
 [تعذبهم, 2]
 [تغفر, 3]
 [فإنك, 9]
 [الصادقين, 17]
 [صدقهم, 2]
 [رضي, 5]
 [ورضوا, 5]
 [والنور, 3]
 [بربهم, 9]
 [يعدلون, 5]
 [طين, 8]
 [أجلا, 3]
 [وأجل, 4]
 [تمترون, 2]
 [سركم, 1]
 [وجهركم, 1]
 [تكسبون, 4]
 [تأتيهم, 16]
 [معرضين, 5]
 [يستهزئون, 14]
 [يروا, 27]
 [أهلكنا, 16]
 [قرن, 5]
 [مكناهم, 3]
 [نمكن, 2]
 [مدرارا, 3]
 [تحتهم, 5]
 [فأهلكناهم, 3]
 [وأنشأنا, 2]
 [قرنا, 2]
 [قرطاس, 1]
 [فلمسوه, 1]
 [لقال, 1]
 [لقضي, 8]
 [جعلناه, 7]
 [لجعلناه, 2]
 [رجلا, 7]
 [وللبسنا, 1]
 [يلبسون, 2]
 [استهزئ, 3]
 [برسل, 3]
 [فحاق, 2]
 [سخروا, 3]
 [سيروا, 5]
 [انظروا, 3]
 [الرحمة, 6]
 [خسروا, 8]
 [سكن, 2]
 [أغير, 4]
 [أتخذ, 2]
 [فاطر, 6]
 [يطعم, 2]
 [أمرت, 7]
 [عصيت, 4]
 [يصرف, 1]
 [رحمه, 1]
 [يمسسك, 3]
 [بضر, 4]
 [كاشف, 2]
 [القاهر, 2]
 [الخبير, 6]
 [أي, 6]
 [بيني, 11]
 [وأوحي, 2]
 [لأنذركم, 1]
 [أئنكم, 4]
 [لتشهدون, 1]
 [آلهة, 17]
 [أشهد, 2]
 [وإنني, 1]
 [بريء, 9]
 [تشركون, 7]
 [كذبا, 15]
 [بآياته, 4]
 [يفلح, 9]
 [نحشرهم, 2]
 [نقول, 8]
 [شركاؤكم, 1]
 [تزعمون, 4]
 [فتنتهم, 1]
 [مشركين, 4]
 [وضل, 8]
 [يستمع, 3]
 [أكنة, 4]
 [يفقهوه, 3]
 [وقرا, 5]
 [يجادلونك, 2]
 [أساطير, 9]
 [الأولين, 31]
 [ينهون, 3]
 [وينأون, 1]
 [يهلكون, 2]
 [وقفوا, 2]
 [ليتنا, 2]
 [نرد, 2]
 [نكذب, 2]
 [بدا, 2]
 [لعادوا, 1]
 [وإنهم, 11]
 [لكاذبون, 9]
 [حياتنا, 3]
 [بمبعوثين, 2]
 [أليس, 13]
 [وربنا, 3]
 [بلقاء, 7]
 [الساعة, 35]
 [بغتة, 13]
 [حسرتنا, 1]
 [فرطنا, 2]
 [يحملون, 2]
 [أوزارهم, 2]
 [يزرون, 2]
 [لعب, 3]
 [ولهو, 3]
 [وللدار, 1]
 [ليحزنك, 1]
 [يكذبونك, 1]
 [يجحدون, 7]
 [كذبت, 16]
 [فصبروا, 1]
 [أتاهم, 5]
 [نصرنا, 2]
 [مبدل, 3]
 [لكلمات, 3]
 [نبإ, 3]
 [كبر, 6]
 [إعراضهم, 1]
 [استطعت, 3]
 [تبتغي, 2]
 [نفقا, 1]
 [سلما, 2]
 [فتأتيهم, 1]
 [لجمعهم, 1]
 [يستجيب, 2]
 [والموتى, 1]
 [يبعثهم, 3]
 [قادر, 2]
 [طائر, 1]
 [يطير, 1]
 [بجناحيه, 1]
 [أمم, 9]
 [أمثالكم, 4]
 [يحشرون, 3]
 [وبكم, 1]
 [يشإ, 2]
 [يضلله, 1]
 [يجعله, 3]
 [أرأيتكم, 2]
 [أتاكم, 3]
 [أتتكم, 1]
 [تدعون, 20]
 [فيكشف, 1]
 [فأخذناهم, 4]
 [بالبأساء, 2]
 [يتضرعون, 2]
 [بأسنا, 10]
 [تضرعوا, 1]
 [وزين, 4]
 [نسوا, 7]
 [فتحنا, 4]
 [أبواب, 8]
 [فرحوا, 3]
 [أخذناهم, 2]
 [مبلسون, 3]
 [فقطع, 2]
 [دابر, 4]
 [والحمد, 2]
 [أرأيتم, 14]
 [سمعكم, 2]
 [وأبصاركم, 1]
 [وختم, 2]
 [نصرف, 4]
 [يصدفون, 3]
 [نرسل, 4]
 [يمسهم, 4]
 [عندي, 6]
 [خزائن, 7]
 [أتبع, 7]
 [يوحى, 14]
 [الأعمى, 7]
 [والبصير, 5]
 [وأنذر, 3]
 [يحشروا, 1]
 [شفيع, 5]
 [تطرد, 1]
 [بالغداة, 2]
 [والعشي, 2]
 [حسابهم, 5]
 [حسابك, 1]
 [فتطردهم, 1]
 [فتنا, 5]
 [ليقولوا, 1]
 [بأعلم, 2]
 [بالشاكرين, 1]
 [سلام, 19]
 [فأنه, 2]
 [نفصل, 5]
 [ولتستبين, 1]
 [المجرمين, 19]
 [نهيت, 2]
 [أعبد, 13]
 [أهواءكم, 1]
 [ضللت, 2]
 [المهتدين, 2]
 [وكذبتم, 1]
 [تستعجلون, 7]
 [الحكم, 7]
 [يقص, 2]
 [الفاصلين, 1]
 [وعنده, 3]
 [مفاتح, 1]
 [يعلمها, 2]
 [والبحر, 9]
 [تسقط, 2]
 [ورقة, 1]
 [رطب, 1]
 [يابس, 1]
 [يتوفاكم, 4]
 [جرحتم, 1]
 [بالنهار, 2]
 [يبعثكم, 1]
 [ليقضى, 1]
 [ينبئكم, 2]
 [ويرسل, 4]
 [حفظة, 1]
 [توفته, 1]
 [يفرطون, 1]
 [مولاهم, 2]
 [أسرع, 2]
 [الحاسبين, 1]
 [ينجيكم, 2]
 [تدعونه, 1]
 [تضرعا, 3]
 [وخفية, 2]
 [أنجانا, 1]
 [لنكونن, 5]
 [كرب, 1]
 [القادر, 1]
 [يبعث, 7]
 [أرجلكم, 1]
 [يلبسكم, 1]
 [شيعا, 4]
 [ويذيق, 1]
 [وكذب, 5]
 [قومك, 9]
 [بوكيل, 5]
 [يخوضون, 1]
 [وإما, 13]
 [ينسينك, 1]
 [تقعد, 1]
 [الذكرى, 6]
 [ذكرى, 6]
 [وذر, 1]
 [لعبا, 1]
 [ولهوا, 1]
 [وغرتهم, 3]
 [وذكر, 6]
 [تبسل, 1]
 [تعدل, 1]
 [أبسلوا, 1]
 [شراب, 4]
 [حميم, 11]
 [وعذاب, 4]
 [أندعو, 1]
 [ينفعنا, 3]
 [يضرنا, 1]
 [ونرد, 1]
 [أعقابنا, 1]
 [هدانا, 5]
 [استهوته, 1]
 [حيران, 1]
 [يدعونه, 1]
 [ائتنا, 4]
 [وأمرنا, 1]
 [لنسلم, 1]
 [أقيموا, 2]
 [واتقوه, 4]
 [ينفخ, 4]
 [الصور, 10]
 [عالم, 13]
 [والشهادة, 10]
 [لأبيه, 9]
 [آزر, 1]
 [أتتخذ, 1]
 [أصناما, 2]
 [وقومك, 1]
 [نري, 1]
 [ملكوت, 4]
 [وليكون, 1]
 [الموقنين, 1]
 [جن, 1]
 [رأى, 12]
 [كوكبا, 2]
 [أفل, 2]
 [أحب, 4]
 [الآفلين, 1]
 [القمر, 5]
 [بازغا, 1]
 [يهدني, 1]
 [لأكونن, 1]
 [الشمس, 20]
 [بازغة, 1]
 [أفلت, 1]
 [وجهت, 1]
 [فطر, 2]
 [وحاجه, 1]
 [قومه, 36]
 [أتحاجوني, 1]
 [هدان, 1]
 [علما, 9]
 [تتذكرون, 3]
 [أشركتم, 2]
 [فأي, 2]
 [الفريقين, 3]
 [بالأمن, 1]
 [يلبسوا, 1]
 [بظلم, 4]
 [مهتدون, 5]
 [حجتنا, 1]
 [آتيناها, 1]
 [نرفع, 2]
 [نشاء, 19]
 [ووهبنا, 8]
 [إسحاق, 6]
 [هدينا, 3]
 [ذريته, 4]
 [ويوسف, 1]
 [وموسى, 5]
 [نجزي, 19]
 [وزكريا, 2]
 [ويحيى, 2]
 [وإلياس, 1]
 [واليسع, 2]
 [ولوطا, 6]
 [آبائهم, 3]
 [وذرياتهم, 3]
 [وإخوانهم, 2]
 [واجتبيناهم, 1]
 [وهديناهم, 1]
 [لحبط, 1]
 [وكلنا, 1]
 [بكافرين, 1]
 [فبهداهم, 1]
 [اقتده, 1]
 [أسألكم, 11]
 [قدروا, 3]
 [تجعلونه, 1]
 [قراطيس, 1]
 [تبدونها, 1]
 [وتخفون, 1]
 [وعلمتم, 1]
 [ذرهم, 2]
 [خوضهم, 1]
 [يلعبون, 5]
 [أنزلناه, 14]
 [مبارك, 4]
 [ولتنذر, 1]
 [القرى, 17]
 [حولها, 3]
 [صلاتهم, 6]
 [يحافظون, 3]
 [أوحي, 9]
 [يوح, 1]
 [سأنزل, 1]
 [غمرات, 1]
 [باسطو, 1]
 [أخرجوا, 5]
 [تجزون, 9]
 [الهون, 3]
 [تستكبرون, 3]
 [جئتمونا, 2]
 [فرادى, 1]
 [خلقناكم, 8]
 [مرة, 14]
 [وتركتم, 1]
 [خولناكم, 1]
 [ظهوركم, 1]
 [شفعاءكم, 1]
 [زعمتم, 6]
 [فالق, 2]
 [الحب, 1]
 [والنوى, 1]
 [ومخرج, 1]
 [فأنى, 11]
 [تؤفكون, 4]
 [الإصباح, 1]
 [سكنا, 2]
 [والشمس, 9]
 [والقمر, 20]
 [حسبانا, 2]
 [تقدير, 3]
 [النجوم, 6]
 [لتهتدوا, 1]
 [فصلنا, 3]
 [أنشأكم, 5]
 [فمستقر, 1]
 [ومستودع, 1]
 [فأخرجنا, 6]
 [نبات, 4]
 [خضرا, 2]
 [نخرج, 2]
 [متراكبا, 1]
 [النخل, 2]
 [طلعها, 3]
 [قنوان, 1]
 [دانية, 2]
 [أعناب, 3]
 [والزيتون, 4]
 [والرمان, 2]
 [مشتبها, 1]
 [وغير, 5]
 [متشابه, 2]
 [ثمره, 3]
 [أثمر, 2]
 [وينعه, 1]
 [وجعلوا, 8]
 [الجن, 19]
 [وخلقهم, 1]
 [وخرقوا, 1]
 [بنين, 2]
 [وتعالى, 7]
 [يصفون, 7]
 [صاحبة, 2]
 [خالق, 7]
 [وكيل, 5]
 [تدركه, 1]
 [يدرك, 1]
 [اللطيف, 2]
 [بصائر, 5]
 [أبصر, 2]
 [فلنفسه, 4]
 [فعليها, 3]
 [بحفيظ, 2]
 [درست, 1]
 [ولنبينه, 1]
 [وأعرض, 4]
 [جعلناك, 3]
 [تسبوا, 1]
 [فيسبوا, 1]
 [زينا, 4]
 [عملهم, 2]
 [مرجعهم, 5]
 [فينبئهم, 3]
 [وأقسموا, 4]
 [يشعركم, 1]
 [أنها, 4]
 [جاءت, 10]
 [ونقلب, 1]
 [أفئدتهم, 2]
 [ونذرهم, 1]
 [أننا, 1]
 [وكلمهم, 1]
 [وحشرنا, 1]
 [قبلا, 2]
 [ليؤمنوا, 4]
 [يجهلون, 1]
 [شياطين, 1]
 [الإنس, 6]
 [والجن, 3]
 [يوحي, 4]
 [زخرف, 2]
 [فذرهم, 6]
 [ولتصغى, 1]
 [أفئدة, 2]
 [وليرضوه, 1]
 [وليقترفوا, 1]
 [مقترفون, 1]
 [أبتغي, 1]
 [مفصلا, 1]
 [منزل, 1]
 [وتمت, 3]
 [كلمت, 5]
 [صدقا, 1]
 [وعدلا, 1]
 [لكلماته, 2]
 [تطع, 8]
 [يخرصون, 3]
 [بالمهتدين, 4]
 [اضطررتم, 1]
 [ليضلون, 1]
 [بأهوائهم, 1]
 [بالمعتدين, 1]
 [ظاهر, 1]
 [وباطنه, 1]
 [سيجزون, 2]
 [يقترفون, 1]
 [لفسق, 1]
 [ليوحون, 1]
 [أوليائهم, 1]
 [ليجادلوكم, 1]
 [أطعتموهم, 1]
 [لمشركون, 1]
 [أومن, 2]
 [ميتا, 5]
 [فأحييناه, 1]
 [يمشي, 6]
 [بخارج, 1]
 [أكابر, 1]
 [مجرميها, 1]
 [ليمكروا, 1]
 [يمكرون, 6]
 [بأنفسهم, 5]
 [نؤتى, 1]
 [سيصيب, 2]
 [أجرموا, 3]
 [صغار, 1]
 [يهديه, 2]
 [يشرح, 1]
 [صدره, 3]
 [للإسلام, 2]
 [يضله, 2]
 [ضيقا, 2]
 [كأنما, 3]
 [يصعد, 2]
 [الرجس, 4]
 [دار, 8]
 [وليهم, 2]
 [يحشرهم, 5]
 [معشر, 3]
 [استكثرتم, 1]
 [استمتع, 2]
 [وبلغنا, 1]
 [أجلنا, 1]
 [أجلت, 2]
 [مثواكم, 1]
 [نولي, 1]
 [والإنس, 9]
 [يقصون, 2]
 [آياتي, 10]
 [وينذرونكم, 2]
 [لقاء, 8]
 [يومكم, 5]
 [شهدنا, 4]
 [أنفسنا, 2]
 [مهلك, 3]
 [وأهلها, 4]
 [غافلون, 6]
 [عملوا, 20]
 [الغني, 8]
 [ويستخلف, 2]
 [بعدكم, 1]
 [توعدون, 13]
 [لآت, 2]
 [بمعجزين, 7]
 [اعملوا, 7]
 [مكانتكم, 4]
 [ذرأ, 2]
 [بزعمهم, 2]
 [لشركائنا, 1]
 [لشركائهم, 1]
 [يصل, 2]
 [شركائهم, 2]
 [يحكمون, 4]
 [لكثير, 1]
 [شركاؤهم, 2]
 [ليردوهم, 1]
 [وليلبسوا, 1]
 [أنعام, 1]
 [وحرث, 1]
 [حجر, 2]
 [يطعمها, 1]
 [وأنعام, 2]
 [افتراء, 2]
 [سيجزيهم, 2]
 [بطون, 4]
 [لذكورنا, 1]
 [ومحرم, 1]
 [أزواجنا, 2]
 [ميتة, 2]
 [وصفهم, 1]
 [سفها, 1]
 [وحرموا, 1]
 [أنشأ, 2]
 [معروشات, 2]
 [والنخل, 3]
 [والزرع, 1]
 [مختلفا, 4]
 [أكله, 2]
 [حقه, 3]
 [حصاده, 1]
 [تسرفوا, 2]
 [المسرفين, 7]
 [حمولة, 1]
 [وفرشا, 1]
 [ثمانية, 3]
 [الضأن, 1]
 [اثنين, 10]
 [المعز, 1]
 [آلذكرين, 2]
 [أما, 8]
 [اشتملت, 2]
 [أرحام, 2]
 [نبئوني, 1]
 [بعلم, 3]
 [الإبل, 2]
 [وصاكم, 4]
 [ليضل, 5]
 [أجد, 4]
 [محرما, 1]
 [طاعم, 1]
 [دما, 1]
 [مسفوحا, 1]
 [لحم, 2]
 [خنزير, 1]
 [فسقا, 1]
 [ظفر, 1]
 [والغنم, 1]
 [شحومهما, 1]
 [حملت, 2]
 [ظهورهما, 1]
 [الحوايا, 1]
 [اختلط, 1]
 [بعظم, 1]
 [جزيناهم, 2]
 [ببغيهم, 1]
 [لصادقون, 4]
 [بأسه, 1]
 [أشركنا, 1]
 [آباؤنا, 7]
 [ذاقوا, 2]
 [عندكم, 3]
 [فتخرجوه, 1]
 [تتبعون, 3]
 [تخرصون, 1]
 [فلله, 6]
 [الحجة, 1]
 [البالغة, 1]
 [فلو, 3]
 [لهداكم, 2]
 [هلم, 2]
 [تشهد, 3]
 [أتل, 1]
 [إملاق, 2]
 [نرزقكم, 1]
 [وإياهم, 1]
 [الفواحش, 2]
 [ظهر, 4]
 [بطن, 2]
 [مال, 8]
 [اليتيم, 5]
 [بالتي, 7]
 [أشده, 5]
 [الكيل, 7]
 [والميزان, 6]
 [نكلف, 3]
 [فاعدلوا, 1]
 [وبعهد, 1]
 [تذكرون, 17]
 [صراطي, 1]
 [فاتبعوه, 3]
 [السبل, 1]
 [فتفرق, 1]
 [تماما, 1]
 [وتفصيلا, 2]
 [طائفتين, 1]
 [دراستهم, 1]
 [لغافلين, 2]
 [لكنا, 4]
 [وصدف, 1]
 [سنجزي, 1]
 [إيمانها, 3]
 [آمنت, 7]
 [انتظروا, 1]
 [منتظرون, 3]
 [فرقوا, 2]
 [أمرهم, 12]
 [بالحسنة, 5]
 [أمثالها, 2]
 [بالسيئة, 5]
 [يجزى, 3]
 [إنني, 6]
 [هداني, 2]
 [قيما, 2]
 [صلاتي, 1]
 [ونسكي, 1]
